First Name,Last Name,Face,Name,Truth
Pedro,Pascal,White,Other,Other
Bella,Ramsey,White,Black,White
Matilda,De Angelis,Other,Other,White
Rutina,Wesley,Black,Black,Black
Kathryn,Newton,White,White,White
Jonathan,Majors,Black,White,Black
Richard,Belzer,White,White,White
Annie,Wersching,White,White,White
Evangeline,Lilly,White,Black,White
Madelyn,Cline,Other,White,White
Anna,Torv,White,White,White
Brendan,Fraser,White,White,White
Natasha,Lyonne,White,Black,White
Melanie,Lynskey,Other,White,White
Cara,Delevingne,Other,Black,White
Alexandra,Daddario,White,Other,White
Jansen,Panettiere,Other,White,White
Elizabeth,Banks,White,Black,White
Stella,Stevens,White,Black,White
Mia,Goth,Other,White,White
Nico,Parker,Other,White,White
Jeri,Ryan,Other,White,White
Raquel,Welch,White,Other,White
Alison,Brie,White,White,White
Tom,Sizemore,White,White,White
Brandon,Sklenar,Other,White,White
Charlotte,Ritchie,White,Black,White
Jennifer Love,Hewitt,White,White,White
Ashley,Johnson,White,Black,White
Austin,Butler,White,Black,White
Cole,Hauser,White,White,White
Tom,Cruise,White,White,White
Isabel,May,White,Other,White
Christa,Miller,White,White,White
Alexander,Skarsgard,Asian,White,White
Paulina,Gaitan,Other,Other,Other
Margot,Robbie,White,White,White
Anya,Taylor-Joy,White,Black,White
Paul,Rudd,White,White,White
Michelle,Pfeiffer,White,White,White
Julia,Schlaepfer,White,White,White
Catherine,Haena Kim,Asian,Asian,Asian
Emily,Blunt,White,Black,White
Gabriel,Luna,Other,Other,Other
Bridget,Regan,White,White,White
Joey,King,White,Black,White
Bruce,Willis,White,Black,White
Kelly,Reilly,White,White,White
Milo,Ventimiglia,White,White,White
Brad,Pitt,White,White,White
Ashley,Greene,White,Black,White
Murray,Bartlett,White,White,White
Billy,Crudup,White,Black,White
Leonardo,DiCaprio,White,Other,White
Ashton,Kutcher,Other,White,White
Samara,Weaving,Asian,White,White
Steven,Spielberg,White,White,White
Amanda,Plummer,Other,White,White
Cate,Blanchett,White,Black,White
Harrison,Ford,Other,Black,White
Nicolas,Cage,White,Black,White
Ana,de Armas,Other,Other,Other
Reese,Witherspoon,White,Black,White
Lizzy,Caplan,White,White,White
Lashana,Lynch,Black,Black,Black
Victoria,Pedretti,White,Other,White
Thuso,Mbedu,Black,Black,Black
Lukas,Gage,White,White,White
M.,Night Shyamalan,Asian,Asian,Asian
Penn,Badgley,White,White,White
Sadie,Sink,White,White,White
Jennifer,Connelly,White,White,White
Michelle,Yeoh,Asian,Asian,Asian
Colin,Farrell,Other,White,White
Tom,Hanks,White,White,White
Henry,Cavill,White,White,White
Miles,Teller,White,White,White
Ray,Liotta,White,White,White
Sylvester,Stallone,Other,Black,White
Lily,James,Other,Black,White
Jennifer,Coolidge,White,White,White
Chase,Stokes,White,Black,White
Hong,Chau,Asian,Asian,Asian
Elizabeth,Lail,White,White,White
Sebastian,Stan,White,White,White
Jennifer,Lawrence,White,White,White
Sophie,Turner,White,Black,White
Riley,Keough,White,White,White
Emma,Watson,White,Black,White
Christian,Bale,White,Black,White
Dakota,Fanning,White,White,White
Haley,Lu Richardson,White,White,White
Stefanie,Martini,White,White,White
Emma,Mackey,White,Black,White
Melanie,Laurent,Asian,White,White
Christoph,Waltz,White,White,White
Sosie,Bacon,White,Black,White
Scout,Taylor-Compton,Other,White,White
Michael,B. Jordan,Black,White,Black
Todd,Stashwick,Other,White,White
Hayden,Panettiere,White,White,White
Cherry,Jones,White,Black,White
Gerard,Butler,White,Black,White
Jessica,Williams,Other,Black,Black
Ellen,Barkin,White,White,White
Daniel,Radcliffe,Other,White,White
Harry,Melling,White,White,White
Andrea,Savage,White,White,White
Denzel,Washington,Black,Black,Black
Ryan,Reynolds,White,White,White
Adam,Driver,White,White,White
Christina,Ricci,White,White,White
Tommi,Rose,White,White,White
Karen,Gillan,White,White,White
Brie,Larson,White,White,White
Sandra,Bullock,White,White,White
Emilia,Jones,White,Black,White
Helen,Mirren,White,White,White
Julianne,Moore,White,Black,White
Timothee,Chalamet,White,Black,White
Kelly,Macdonald,White,White,White
Tracy,Spiridakos,White,White,White
Juno,Temple,White,Black,White
Paul,Mescal,White,White,White
Holliday,Grainger,White,White,White
Brianne,Howey,White,White,White
Kevin,Costner,White,White,White
Tamzin,Merchant,White,Asian,White
Ben,Barnes,Other,Black,White
Viola,Davis,Black,Black,Black
Lauren,Ash,White,White,White
Jason,Statham,White,White,White
Mary,Elizabeth Winstead,White,White,White
Luke,Grimes,White,White,White
Jay,Hernandez,Other,Other,Other
Elizabeth,Debicki,White,White,White
Molly,Ringwald,White,White,White
Ke,Huy Quan,White,Asian,Asian
Mel,Gibson,Other,Black,White
Liam,Neeson,Other,White,White
Charlbi,Dean,White,Black,White
Linda,Cardellini,White,White,White
Bonnie,Somerville,White,Black,White
Scarlett,Johansson,White,White,White
Chloe,Grace Moretz,White,Other,White
Lupita,Nyong'o,Black,Black,Black
Allison,Williams,Other,Black,White
Quentin,Tarantino,White,White,White
Matthew,McConaughey,White,White,White
John,Travolta,White,White,White
Taron,Egerton,White,White,White
Isabelle,Fuhrman,White,White,White
Michael,Keaton,White,White,White
Kate,Winslet,Other,White,White
James,Norton,White,White,White
Carrie,Coon,White,White,White
Robert,Downey Jr.,White,White,White
Ryan,Gosling,White,White,White
Mark,Wahlberg,White,White,White
Alison,Pill,White,White,White
Tom,Burke,White,White,White
Katheryn,Winnick,White,White,White
Emma,Thompson,White,Black,White
Steve,Zahn,White,White,White
Johnny,Depp,Other,White,White
Justine,Bateman,White,Black,White
Lauren,Ambrose,White,White,White
Guy,Ritchie,White,White,White
Drew,Barrymore,White,White,White
Darren,Aronofsky,White,White,White
Emilia,Clarke,White,Black,White
Amie,Donald,White,Black,White
Ben,Affleck,White,White,White
Jonah,Hill,White,Black,White
Andrea,Riseborough,White,White,White
Adam,Sandler,White,White,White
Val,Kilmer,White,White,White
Bryce,Dallas Howard,White,White,White
Robert,De Niro,White,White,White
Orlando,Bloom,White,Other,White
Brittany,Snow,White,White,White
Zoe,Saldana,Asian,Other,White
Tig,Notaro,White,White,White
Salma,Hayek,Other,White,Other
Jessica,Chastain,White,White,White
Channing,Tatum,White,Black,White
Theo,James,Other,Black,White
Britt,Robertson,Other,White,White
Diane,Morgan,White,Black,White
Keira,Knightley,White,Black,White
Troy,Baker,White,Black,White
Amy,Adams,White,White,White
Julian,Sands,White,Black,White
Gemma,Arterton,White,Black,White
Michelle,Monaghan,White,White,White
Emma,Fuhrmann,White,White,White
Emma,Myers,Asian,Black,White
Will,Smith,Black,Black,Black
Ralph,Fiennes,White,White,White
Erika,Christensen,White,White,White
Orla,Brady,White,White,White
Gates,McFadden,White,Black,White
Olivia,Wilde,White,Black,White
David,Harbour,Other,White,White
Travis,Fimmel,White,White,White
Michael,Shannon,White,White,White
Michael,Douglas,White,Black,White
Olivia,Rodrigo,Other,Other,Asian
Russell,Crowe,Other,White,White
Ophelia,Lovibond,White,Black,White
Matt,Damon,White,White,White
Elizabeth,Olsen,White,White,White
Glen,Powell,White,Black,White
Monica,Bellucci,White,White,White
Eva,Green,White,Black,White
Marie-Josee,Croze,White,White,White
Natalie,Portman,White,White,White
Monica,Barbaro,Other,Other,White
Bellamy,Young,White,Black,White
Catherine,Zeta-Jones,Other,White,White
Sherrie,Rose,Other,Black,White
Emma,Stone,White,Black,White
Jake,Gyllenhaal,Other,White,White
Bryan,Cranston,White,White,White
Anne,Hathaway,White,White,White
Ginnifer,Goodwin,White,White,White
Angela,Bassett,Other,Black,Black
Rose,Williams,White,Black,White
Martin,Scorsese,White,White,White
Jason,Segel,White,White,White
Rachel,McAdams,White,Black,White
Kaitlyn,Dever,Other,White,White
Adrianne,Palicki,Other,White,White
William,Fichtner,White,White,White
Mila,Kunis,Other,White,White
Al,Pacino,Other,Other,White
Charlize,Theron,White,Black,White
Iliza,Shlesinger,White,White,White
Christopher,Nolan,White,White,White
Michael,Rady,White,White,White
Carla,Gugino,White,Other,White
Alicia,Vikander,White,White,White
Dawn,Olivieri,Other,White,White
Kate,Mulvany,White,White,White
Julie,Strain,White,White,White
Brendan,Gleeson,Other,White,White
Damien,Chazelle,Other,Black,White
Timothy,Olyphant,White,White,White
Annabelle,Wallis,White,White,White
Megan,Fox,White,White,White
Alan,Rickman,White,White,White
Michelle,Randolph,White,Black,White
Anna,Paquin,White,White,White
Olivia,Cooke,White,Black,White
